id , project_slug                                                                            , cve_id          , cwe_id  , cwe_name                                                                                              , github_username       , github_repository_name                  , github_tag                                    , github_url                                                        , advisory_id        , buggy_commit_id                         , fix_commit_ids
 22, codehaus-plexus__plexus-utils_CVE-2022-4244_3.0.23                                      , CVE-2022-4244   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , codehaus-plexus       , plexus-utils                            , 3.0.23                                        , https://github.com/codehaus-plexus/plexus-utils                   , GHSA-g6ph-x5wf-g337, 6176f91bb843eecddac857591ed20bda38e01470, 33a2853df8185b4519b1b8bfae284f03392618ef
 23, undertow-io__undertow_CVE-2014-7816_1.0.16.Final                                        , CVE-2014-7816   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , undertow-io           , undertow                                , 1.0.16.Final                                  , https://github.com/undertow-io/undertow                           , GHSA-h6p6-fc4w-cqhx, 4aa98c80fa9962235c94f8666c30793d0018f95d, 28f244e63f558ba99a197813cfd5eee461b52b4c
 24, codehaus-plexus__plexus-archiver_CVE-2023-37460_4.7.1                                   , CVE-2023-37460  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , codehaus-plexus       , plexus-archiver                         , 4.7.1                                         , https://github.com/codehaus-plexus/plexus-archiver                , GHSA-wh3p-fphp-9h2m, e7cbadba1b5c78192677da95b355dd790f3a4535, 54759839fbdf85caf8442076f001d5fd64e0dcb2
 25, jeremylong__DependencyCheck_CVE-2018-12036_3.1.2                                        , CVE-2018-12036  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , jeremylong            , DependencyCheck                         , 3.1.2                                         , https://github.com/jeremylong/DependencyCheck                     , GHSA-hcwx-7q5v-vc67, c3b5b3c0d7fe7283b4cd421149d6fb620476f67d, c106ca919aa343b95cca0ffff0a0b5dc20b2baf7
 26, apache__rocketmq_CVE-2019-17572_4.6.0                                                   , CVE-2019-17572  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , rocketmq                                , 4.6.0                                         , https://github.com/apache/rocketmq                                , GHSA-5x3v-2gxr-59m2, d1b4e47c26576cf4fa543bbdd8c6f09643220bed, f8f6fbe4aa7f5dee937e688322628c366b12a552
 27, vert-x3__vertx-web_CVE-2019-17640_3.9.3                                                 , CVE-2019-17640  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , vert-x3               , vertx-web                               , 3.9.3                                         , https://github.com/vert-x3/vertx-web                              , GHSA-vjw7-6gfq-6wf5, 2146b7240096e25b40bb1acc083fa7ec79330989, b12f7c4c6576a8adc3f683b2899de4b0e7d099e4
 28, apache__sling-org-apache-sling-servlets-resolver_CVE-2024-23673_2.10.0                  , CVE-2024-23673  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , sling-org-apache-sling-servlets-resolver, 2.10.0                                        , https://github.com/apache/sling-org-apache-sling-servlets-resolver, GHSA-h2rq-qhr7-53gm, cb80c5e80144fcd9f6ac283ffb564f3b863cfbb2, b54d4e6693e0bcd63a97a0328f4f065b8a81b75e
 29, x-stream__xstream_CVE-2013-7285_1.4.6                                                   , CVE-2013-7285   , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , x-stream              , xstream                                 , 1.4.6                                         , https://github.com/x-stream/xstream                               , GHSA-f554-x222-wgf7, 768c6e417a75e7732fc591bee844e5e81af56a7d, 6344867dce6767af7d0fe34fb393271a6456672d
 30, apache__myfaces_CVE-2011-4367_2.0.11                                                    , CVE-2011-4367   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , myfaces                                 , 2.0.11                                        , https://github.com/apache/myfaces                                 , GHSA-gjfx-9wx3-j6r7, bedac49daffc3cb792fa19884620af01ab5a01ab, 236cd211327c557825c7fce091bcc68f57a88e8e;99ef1250ca3e28213e85eac14817e1ff93fc9e6a;c07c3bf93ad0e0cf530ddece0642783f1553ad89;9e7e996a4ef83c4d8e673ee6e4431348e598e031;b9b2e00bb53d3eb435256c5a140b83f7d6251b55
 31, spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE                           , CVE-2020-5405   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , spring-cloud          , spring-cloud-config                     , 2.1.6.RELEASE                                 , https://github.com/spring-cloud/spring-cloud-config               , GHSA-g86w-v5vg-9gxf, 24e7292e5930367396461354d3f9d8ba8b94771c, 651f458919c40ef9a5e93e7d76bf98575910fad0
 32, spring-cloud__spring-cloud-config_CVE-2020-5410_2.1.8.RELEASE                           , CVE-2020-5410   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , spring-cloud          , spring-cloud-config                     , 2.1.8.RELEASE                                 , https://github.com/spring-cloud/spring-cloud-config               , GHSA-32xf-jwmv-9hf3, 91843a9ddc7489275b679568bfce1e4c37af71e1, 03eaadc25323d8c8c89f528e8585033ed90c50f6
 33, x-stream__xstream_CVE-2021-21345_1.4.15                                                 , CVE-2021-21345  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , x-stream              , xstream                                 , 1.4.15                                        , https://github.com/x-stream/xstream                               , GHSA-hwpc-8xqv-jvj4, f04bbec461f2c2a6f1e2cf41770f42c64aae24a4, d5e51177634afea7213b9dc2d21f101d2e258db9
 34, codehaus-plexus__plexus-utils_CVE-2017-1000487_3.0.15                                   , CVE-2017-1000487, CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , codehaus-plexus       , plexus-utils                            , 3.0.15                                        , https://github.com/codehaus-plexus/plexus-utils                   , GHSA-8vhq-qq4p-grq3, 3b271b43f9e5021b4232fc2ffdfb4e469c7f8685, b38a1b3a4352303e4312b2bb601a0d7ec6e28f41
 35, asf__james-project_CVE-2022-22931_3.6.0                                                 , CVE-2022-22931  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , james-project                           , 3.6.0                                         , https://github.com/apache/james-project                           , GHSA-v84g-cf5j-xjqx, 34f9b0b52ab8c84378d3a34ac43a0fef5aa4e8fe, 8f9512637d374ccdf84d61617a2878557bf07532
 36, DSpace__DSpace_CVE-2022-31194_5.10                                                      , CVE-2022-31194  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , DSpace                , DSpace                                  , 5.1                                           , https://github.com/DSpace/DSpace                                  , GHSA-qp5m-c3m9-8q2p, eca7968be7d6b9f8f5f302c9fc09f8186ed4809e, 7569c6374aefeafb996e202cf8d631020eda5f24;d1dd7d23329ef055069759df15cfa200c8e3
 37, DSpace__DSpace_CVE-2022-31195_5.10                                                      , CVE-2022-31195  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , DSpace                , DSpace                                  , 5.1                                           , https://github.com/DSpace/DSpace                                  , GHSA-8rmh-55h4-93h5, eca7968be7d6b9f8f5f302c9fc09f8186ed4809e, 56e76049185bbd87c994128a9d77735ad7af0199;7af52a0883a9dbc475cf3001f04ed11b24c8a4c0
 38, xwiki__xwiki-commons_CVE-2022-24897_12.6.6                                              , CVE-2022-24897  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , xwiki                 , xwiki-commons                           , 12.6.6                                        , https://github.com/xwiki/xwiki-commons                            , GHSA-cvx5-m8vg-vxgc, 4f33e1efd74016fa9eb31b3c2fcd01bc6becd551, 215951cfb0f808d0bf5b1097c9e7d1e503449ab8
 39, apache__dolphinscheduler_CVE-2022-26884_2.0.5                                           , CVE-2022-26884  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , dolphinscheduler                        , 2.0.5                                         , https://github.com/apache/dolphinscheduler                        , GHSA-vpgf-fgm8-gxr2, f31328276c12821c21d1ce07e824bc74146c19b2, 9717da6c255414eaef1c9ac943b0eb8989c1a85d
 40, kubernetes-client__java_CVE-2020-8570_client-java-parent-9.0.1                          , CVE-2020-8570   , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , kubernetes-client     , java                                    , client-java-parent-9.0.1                      , https://github.com/kubernetes-client/java                         , GHSA-cghx-9gcr-r42x, 796c74f4244cacd90d99393640ccaad0c72f8893, 858316ae8bc1145005a0310e1f65f95d2389a589
 41, jenkinsci__git-client-plugin_CVE-2019-10392_2.8.4                                       , CVE-2019-10392  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , jenkinsci             , git-client-plugin                       , 2.8.4                                         , https://github.com/jenkinsci/git-client-plugin                    , GHSA-hw6x-2qwv-rxr7, 72add81da4cbeabc95504ebdb9007d47ac1c2b0b, 899123fa2eb9dd2c37137aae630c47c6be6b4b02
 42, jenkinsci__perfecto-plugin_CVE-2020-2261_1.17                                           , CVE-2020-2261   , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , jenkinsci             , perfecto-plugin                         , 1.17                                          , https://github.com/jenkinsci/perfecto-plugin                      , GHSA-jq84-6fmm-6qv6, adabcd9da98628e063bb91198e30ff39a34dc921, d110afc25aaf9cc828fa47d5d2072ce7e82ae837
 43, nahsra__antisamy_CVE-2017-14735_1.5.6                                                   , CVE-2017-14735  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , nahsra                , antisamy                                , 1.5.6                                         , https://github.com/nahsra/antisamy                                , GHSA-q44v-xc3g-v7jq, 1369d4c904e1f021d3616580daf9e1d8e43e0ddb, 82da009e733a989a57190cd6aa1b6824724f6d36
 44, nahsra__antisamy_CVE-2016-10006_1.5.3                                                   , CVE-2016-10006  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , nahsra                , antisamy                                , 1.5.3                                         , https://github.com/nahsra/antisamy                                , GHSA-683w-6h9j-57wq, 8bebe1eb2ec1ac23e34111e9d06024d7dab7fa25, 90550e42b39972fce0db4bcab0e1ce4359b94661;7313931dc3c0d1377b010f07faef2063dd359a36;5f4982e95f1894669550bb3f6a639573dd4e3756;5a783b4116a21a12ab10f57cd1c88616902af633
 45, jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d              , CVE-2022-25174  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , jenkinsci             , workflow-cps-global-lib-plugin          , 544.vff04fa68714d                             , https://github.com/jenkinsci/workflow-cps-global-lib-plugin       , GHSA-g9fx-6j5c-grmw, ff04fa68714d2cc277e8a87512461bdf3a39e186, ace0de3c2d691662021ea10306eeb407da6b6365
 46, jenkinsci__docker-commons-plugin_CVE-2022-20617_1.17                                    , CVE-2022-20617  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , jenkinsci             , docker-commons-plugin                   , 1.17                                          , https://github.com/jenkinsci/docker-commons-plugin                , GHSA-jpxj-vgq5-prjc, 2f0fda49452a7653c33de24220c908786f1aa405, c069b79c31c5aa80a01b0c462f0dc6b41751f059
 47, jenkinsci__workflow-multibranch-plugin_CVE-2022-25175_706.vd43c65dec013                 , CVE-2022-25175  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , jenkinsci             , workflow-multibranch-plugin             , 706.vd43c65dec013                             , https://github.com/jenkinsci/workflow-multibranch-plugin          , GHSA-pj84-qjm3-77mg, d43c65dec013812b084fecbb4a310d856eb6b89a, 71c3f0a6ccdb2ba43f43686826b0d62160df85e8
 48, apache__shiro_CVE-2023-34478_1.11.0                                                     , CVE-2023-34478  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , shiro                                   , 1.11.0                                        , https://github.com/apache/shiro                                   , GHSA-pmhc-2g4f-85cg, adb56c885210eeca710b2df17f6b3aeda85e4f35, c3ede3f94efb442acb0795714a022c2c121d1da0
 49, apache__mina-sshd_CVE-2023-35887_2.9.2                                                  , CVE-2023-35887  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , mina-sshd                               , 2.9.2                                         , https://github.com/apache/mina-sshd                               , GHSA-mjmq-gwgm-5qhm, fbbbb7b6af7fdf1765f297a96dfec3f198f5fd7d, 10de190e7d3f9189deb76b8d08c72334a1fe2df0;a61e93035f06bff8fc622ad94870fb773d48b9f0;c20739b43aab0f7bf2ccad982a6cb37b9d5a8a0b
 50, OWASP__json-sanitizer_CVE-2020-13973_1.2.0                                              , CVE-2020-13973  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , OWASP                 , json-sanitizer                          , 1.2.0                                         , https://github.com/OWASP/json-sanitizer                           , GHSA-g8jj-899q-8x3j, bb41f80ad575cb90ea6535976d7c17accb4b4c87, f3512bab078af3f5c533dacc2d410add8c0c1124
 51, apache__shiro_CVE-2023-46749_1.12.0                                                     , CVE-2023-46749  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , shiro                                   , 1.12.0                                        , https://github.com/apache/shiro                                   , GHSA-jc7h-c423-mpjc, c8a294ab32b29a6e9d4b03bbaa6bae11c42daea1, 8400d08d5eac0bc4fae99d28c5adc82dd8a86eda
 52, x-stream__xstream_CVE-2020-26217_1.4.14-java7                                           , CVE-2020-26217  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , x-stream              , xstream                                 , 1.4.14-java7                                  , https://github.com/x-stream/xstream                               , GHSA-mw36-7c6c-q4q2, d03f6987b793fac71ab89a31d7aa633c366c5289, 0fec095d534126931c99fd38e9c6d41f5c685c1a
 53, ESAPI__esapi-java-legacy_CVE-2022-24891_2.2.3.1                                         , CVE-2022-24891  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , ESAPI                 , esapi-java-legacy                       , 2.2.3.1                                       , https://github.com/ESAPI/esapi-java-legacy                        , GHSA-q77q-vx4q-xx6q, 2e8694c6beb3bdbb2645b882eba72ce41bc63242, 096aa60d6441fce4c632b36b36fdf5f53799c29a
 54, nahsra__antisamy_CVE-2022-29577_1.6.6.1                                                 , CVE-2022-29577  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , nahsra                , antisamy                                , 1.6.6.1                                       , https://github.com/nahsra/antisamy                                , GHSA-vp37-2f9p-3vr3, b6e76de85a07549f2c97941437dd73430d7287a8, 32e273507da0e964b58c50fd8a4c94c9d9363af0
 55, nahsra__antisamy_CVE-2022-28367_1.6.5                                                   , CVE-2022-28367  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , nahsra                , antisamy                                , 1.6.5                                         , https://github.com/nahsra/antisamy                                , GHSA-3pqg-4rqg-pg9g, b7c151112dd19928e700ee48639942fd1079d1e3, 0199e7e194dba5e7d7197703f43ebe22401e61ae
 56, xuxueli__xxl-job_CVE-2020-29204_2.2.0                                                   , CVE-2020-29204  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , xuxueli               , xxl-job                                 , 2.2.0                                         , https://github.com/xuxueli/xxl-job                                , GHSA-wc73-w5r9-x9pc, 1874c4854f81d6af4a9471d3fe111cdbf713f336, 227628567354d3c156951009d683c6fec3006e0e
 57, jenkinsci__script-security-plugin_CVE-2023-24422_1228.vd93135a_2fb_25                   , CVE-2023-24422  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , jenkinsci             , script-security-plugin                  , 1228.vd93135a_2fb_25                          , https://github.com/jenkinsci/script-security-plugin               , GHSA-76qj-9gwh-pvv3, d93135a2fb250c04cc361b0bb1efd809bc63ad08, 4880bbe905a6783d80150c8b881d0127430d4a73
 58, apache__sling-org-apache-sling-xss_CVE-2016-5394_1.0.8                                  , CVE-2016-5394   , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , apache                , sling-org-apache-sling-xss              , 1.0.8                                         , https://github.com/apache/sling-org-apache-sling-xss              , GHSA-xwf4-88xr-hx2j, e23ca68878dd6504066015601b6b76e8fe19b752, de32b144ad2be3367559f6184d560db42a220529
 59, rhuss__jolokia_CVE-2018-1000129_1.4.0                                                   , CVE-2018-1000129, CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , rhuss                 , jolokia                                 , 1.4.0                                         , https://github.com/rhuss/jolokia                                  , GHSA-hfpg-gqjw-779m, 10727cab59a8fc2ae053bec6b2f26f48f1c4245c, 5895d5c137c335e6b473e9dcb9baf748851bbc5f
 60, yamcs__yamcs_CVE-2023-45278_5.8.6                                                       , CVE-2023-45278  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , yamcs                 , yamcs                                   , 5.8.6                                         , https://github.com/yamcs/yamcs                                    , GHSA-43fw-536j-w37j, 9443a67d2aeda20fb73f68c5d571b515d68c05e4, b6db35e432e62fdff0447cf513369f0b8a848abf
 61, yamcs__yamcs_CVE-2023-45277_5.8.6                                                       , CVE-2023-45277  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , yamcs                 , yamcs                                   , 5.8.6                                         , https://github.com/yamcs/yamcs                                    , GHSA-w4m2-qmh3-2g8f, 9443a67d2aeda20fb73f68c5d571b515d68c05e4, b6db35e432e62fdff0447cf513369f0b8a848abf
 62, jenkinsci__workflow-cps-plugin_CVE-2022-25173_2646.v6ed3b5b01ff1                        , CVE-2022-25173  , CWE-078 , Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')            , jenkinsci             , workflow-cps-plugin                     , 2646.v6ed3b5b01ff1                            , https://github.com/jenkinsci/workflow-cps-plugin                  , GHSA-4m7p-55jm-3vwv, 6ed3b5b01ff16dc4f6f9f4b209dbc21394b13913, f7ae7b75a457976853539bff1db52373b85fdb85
 63, alibaba__nacos_CVE-2021-44667_2.0.3                                                     , CVE-2021-44667  , CWE-079 , Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')                  , alibaba               , nacos                                   , 2.0.3                                         , https://github.com/alibaba/nacos                                  , GHSA-4gr7-qw2q-jxh6, 5a4d433970be9b8402f57e65bffa497027f21e30, cd6d7e33b94f24814701f3faf8b632e5e85444c5
 64, apache__uima-uimaj_CVE-2022-32287_3.3.0                                                 , CVE-2022-32287  , CWE-022 , Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')                        , apache                , uima-uimaj                              , 3.3.0                                         , https://github.com/apache/uima-uimaj                              , GHSA-xgqr-5wqw-9fpv, f1f557a415ae38e383bf050587a510211515c21d, 1088f615154b385dd163965b8d2ef78e87111ab1
